age,health,Health1,Health2,Health3,Health4,Health5,Death
97,4,0.00616554,0.02039737,0.11666355,0.47550288,0.13239098,0.24887968
97,5,0.00022489,0.00635902,0.02814156,0.08372380,0.38933719,0.49221353
97,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
98,1,0.47094494,0.21090732,0.07854081,0.04464974,0.01730562,0.17765158
98,2,0.03607588,0.45638911,0.21306301,0.04419234,0.06146795,0.18881173
98,3,0.00833248,0.08380906,0.46193789,0.18049115,0.03087057,0.23455885
98,4,0.00610492,0.02008709,0.11346126,0.46601828,0.13191404,0.26241441
98,5,0.00020378,0.00628587,0.02770055,0.08034149,0.37680966,0.50865864
98,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
99,1,0.45706448,0.20592742,0.07842242,0.04565695,0.01776711,0.19516162
99,2,0.03433587,0.43975297,0.20894971,0.04409808,0.06582789,0.20703548
99,3,0.00808245,0.08078228,0.44850907,0.17910184,0.03097666,0.25254770
99,4,0.00603865,0.01976106,0.11023272,0.45625041,0.13130284,0.27641431
99,5,0.00018445,0.00620663,0.02723602,0.07700975,0.36427813,0.52508503
99,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
